Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Tomi,Heiskanen,Fredrikinkatu 50,Kempele,92912,Finland,FI,19500902-022V,+358,+358802237992,1950-09-02,True
Susan,Carlson,Steele Union 007,Marktown,56589,Danmark,DK,19471128-9214,+45,578-917-0697x51339,1947-11-28,True
Dylan,Walker,April Brooks 074,Port Carrieland,59781,Danmark,DK,19990630-6119,+45,+1-786-515-1789,1999-06-30,True
Thea,Bakke,Sæthertoppen 34,Kristinegrunn,0514,Norge,NO,19520203-3773,+47,60 66 11 92,1952-02-03,True
Sten,Larsson,Skoltorget 6,Göteborg,27941,Sverige,SE,19990714-1453,+46,0392-87 90 26,1999-07-14,True
Michael,Miranda,Stevenson Heights 269,Markfurt,72711,Danmark,DK,19590810-4378,+45,(243)636-2211,1959-08-10,True
David,Hatfield,Swanson Way 7396,Charlesborough,89204,Danmark,DK,20000411-1939,+45,924.544.9237,2000-04-11,True
Håkon,Nielsen,Kristoffersenstranda 7,Johnsen,8843,Norge,NO,19490921-3417,+47,10904820,1949-09-21,True
Katarina,Björk,Fabriksgatan 245,Nyköping,98361,Sverige,SE,19510411-4035,+46,+46 (0)74 69 07 59,1951-04-11,True
Sander,Andreassen,Bergskrenten 3,Hauge,6462,Norge,NO,19421226-3760,+47,+47 29 88 71 30,1942-12-26,True
Karen,Lozano,Frank Spurs 524,Lake Michelle,70691,Danmark,DK,19930703-7308,+45,790.640.9761x60019,1993-07-03,True
Susanne,Bergman,Fabriksgränd 02,Umeå,49479,Sverige,SE,19530311-3924,+46,08-828 638 92,1953-03-11,True
Mary,Harper,Rebecca Tunnel 15348,Shelleyside,57478,Danmark,DK,19580114-2756,+45,281.842.6723,1958-01-14,True
Mirjam,Niskanen,Hannukselanpolku 68,Veteli,23209,Finland,FI,19630716-841E,+358,(+358) 771977893,1963-07-16,True
Jaakko,Rönkkö,Capellan puistobulevardi 8,Orivesi,56739,Finland,FI,19610917-245U,+358,(+358) 651272440,1961-09-17,True
Britt,Kristensen,Thorsenroa 7,Eriksen,0798,Norge,NO,19550120-8793,+47,+4740365446,1955-01-20,True
Leif,Åström,Skolgatan 42,Halmstad,56591,Sverige,SE,19990916-6002,+46,+46 (0)8 594 472 73,1999-09-16,True
Else,Kristensen,Hanssenstubben 570,Ragnhildfoss,2801,Norge,NO,19770828-5873,+47,45974005,1977-08-28,True
Kristina,Khan,Villatorget 3,Stockholm,92834,Sverige,SE,19690528-5348,+46,08-518 56 94,1969-05-28,True
Cameron,Davies,Jefferson Lakes 122,North Kevin,45608,Danmark,DK,19721006-3900,+45,7268762486,1972-10-06,True
Aurora,Karlsson,Nygatan 2,Göteborg,14898,Sverige,SE,19420301-7957,+46,0064-027 67,1942-03-01,True
Nils,Lundquist,Ekvägen 36,Trelleborg,89847,Sverige,SE,19530301-7016,+46,08-02 82 00,1953-03-01,True
Teodor,Hellberg,Skolgränd 7,Södertälje,90968,Sverige,SE,19440208-7699,+46,005-56 60 17,1944-02-08,True
Anette,Granath,Kyrkgatan 077,Lidingö,96953,Sverige,SE,19781128-5909,+46,0616-80 39 17,1978-11-28,True
Beatrice,Engström,Furutorget 6,Mölndal,70198,Sverige,SE,19680409-4297,+46,08-746 872 65,1968-04-09,True
Kerstin,Mattsson,Aspstigen 8,Karlskrona,70970,Sverige,SE,19980917-7387,+46,+46 (0)8 867 131 36,1998-09-17,True
Nancy,Lindgren,Ekstigen 80,Örnsköldsvik,29688,Sverige,SE,19810320-0951,+46,+46 (0)35 17 93 82,1981-03-20,True
Lisa,Johnsson,Villagatan 002,Karlskrona,78244,Sverige,SE,19750504-2260,+46,0808-657 95,1975-05-04,True
Jerome,Gonzalez,Tyler Lock 257,Yvetteland,32604,Danmark,DK,19671103-0066,+45,996.675.3746x1190,1967-11-03,True
Victoria,Lindholm,Aspvägen 5,Södertälje,70538,Sverige,SE,19920407-0514,+46,+46 (0)29 51 21 70,1992-04-07,True
Mila,Gustafsson,Skolgatan 9,Kristianstad,59274,Sverige,SE,19800103-1434,+46,+46 (0)24 94 45 07,1980-01-03,True
Joakim,Jenssen,Johnsenhavna 7,Kristianås,5474,Norge,NO,19750311-8092,+47,985 32 616,1975-03-11,True
Kim,Nilsen,Rasmussenstubben 1,Næss,1850,Norgez,NO,19500521-5351,+47,03997873,1950-05-21,True
Marjo,Holopainen,Tuulilasinpolku 53,Mäntyharju,99315,Finland,FI,19861002-7792,+358,058 507 4569,1986-10-02,True
Margaret,Malmberg,Industrigatan 634,Varberg,45379,Sverige,SE,19680522-6936,+46,08-685 78 31,1968-05-22,True
Joakim,Svahn,Ängsstigen 5,Stockholm,82746,Sverige,SE,19720131-4674,+46,+46 (0)8 269 296 44,1972-01-31,True
Kjell,Sæther,Gundersenringen 6,Kristinsjøen,3676,Norge,NO,19430716-2653,+47,91935380,1943-07-16,True
Per,Jönsson,Backstigen 16,Luleå,86425,Sverige,SE,19900923-5327,+46,047-19 50 74,1990-09-23,True
Sheila,Smith,Jaime Station 36909,Amberton,92320,Danmark,DK,19790107-3652,+45,609.260.9365,1979-01-07,True
Åke,Persson,Grangatan 415,Norrköping,23964,Sverige,SE,19790503-5070,+46,+46 (0)86 65 82 61,1979-05-03,True
Line,Arnesen,Nguyenrøa 95,Pettersen,6899,Norge,NO,19970606-6481,+47,433 21 951,1997-06-06,True
Päivi,Muhonen,Böstaksenkatu 3,Karvia,80282,Finland,FI,19550906-282B,+358,(+358) 077995990,1955-09-06,True
Lovisa,Berg,Skogstorget 4,Kalmar,81072,Sverige,SE,19830508-8967,+46,0015-01 84 29,1983-05-08,True
Elisabeth,Henriksson,Åkergränd 14,Mölndal,43348,Sverige,SE,19570428-6806,+46,053-610 72 99,1957-04-28,True
Unni,Johnsen,Knutsentunet 61,Aasen,7954,Norge,NO,19920121-8259,+47,70 45 78 35,1992-01-21,True
Kirsten,Gulbrandsen,Isaksenmoen 8,Andersdal,6361,Norge,NO,19520515-7261,+47,+4729394179,1952-05-15,True
Mari,Nguyen,Moenbakken 8,Jacobsen,8950,Norge,NO,19600309-2787,+47,+47 75 40 45 81,1960-03-09,True
David,Anderson,Crystal Green 414,New Robert,24232,Danmark,DK,19580215-2821,+45,+1-593-619-2053x971,1958-02-15,True
Johan,Söderman,Furugränd 682,Karlskoga,42001,Sverige,SE,19770729-7869,+46,+46 (0)395 717 21,1977-07-29,True
Hans,Johansson,Kyrkgatan 19,Norrköping,33168,Sverige,SE,19761227-6367,+46,0673-12 82 55,1976-12-27,True
Marte,Antonsen,Iversenalléen 01,Steinøy,7531,Norge,NO,19691026-8807,+47,49649763,1969-10-26,True
Ola,Jenssen,Nguyenskrenten 3,Sivertsen,8381,Norge,NO,19601118-5365,+47,955 51 502,1960-11-18,True
Madison,Hill,Chavez Square 9608,Port Roberttown,60749,Danmark,DK,19651022-1627,+45,642-425-9502x53359,1965-10-22,True
Lina,Jönsson,Industrigatan 993,Varberg,41201,Sverige,SE,19590512-0189,+46,08-843 735 95,1959-05-12,True
Frank,Widén,Kyrkovägen 5,Kristianstad,51433,Sverige,SE,19771226-1962,+46,+46 (0)8 886 387 83,1977-12-26,True
Tommy,Hagen,Johansenlunden 06,Camillastrand,2969,Norge,NO,19921028-6714,+47,+47 32 23 97 56,1992-10-28,True
Johnathan,Watson,Roberts Parkway 708,West Carrie,86805,Danmark,DK,19550227-8007,+45,614.493.3043x83947,1955-02-27,True
Karin,Andersson,Strandtorget 66,Umeå,12856,Sverige,SE,19710521-4900,+46,+46 (0)519 093 59,1971-05-21,True
Ing-Britt,Andersson,Skogsvägen 712,Trollhättan,43165,Sverige,SE,19860804-6751,+46,+46 (0)62 76 98 57,1986-08-04,True
David,Porter,Kelley Land 423,Lake Barbaramouth,98843,Danmark,DK,19661018-8586,+45,316.910.5158x84717,1966-10-18,True
Janne,Engen,Moehaugen 42,Malinberg,0089,Norge,NO,19530310-5142,+47,94 44 10 46,1953-03-10,True
Iréne,Petersen,Nyvägen 3,Östersund,82419,Sverige,SE,19690918-1695,+46,0446-372 18,1969-09-18,True
Dennis,Miller,Leslie Field 593,West Joshuashire,48491,Danmark,DK,19480921-0252,+45,5579713408,1948-09-21,True
Caroline,Falk,Ängsgatan 051,Nyköping,84557,Sverige,SE,19941022-1881,+46,0061-566 98,1994-10-22,True
Felicia,Blomberg,Backvägen 243,Umeå,67918,Sverige,SE,19830617-9462,+46,+46 (0)93 71 69 02,1983-06-17,True
Inger,Olsson,Stationsgatan 14,Borås,48483,Sverige,SE,19730731-3939,+46,+46 (0)62 72 55 18,1973-07-31,True
Elisabeth,Rautiainen,Fastbölenkatu 3,Haapajärvi,03749,Finland,FI,19470204-556W,+358,+358377927558,1947-02-04,True
Kristin,George,James Divide 569,Jonesburgh,29436,Danmark,DK,19400321-1354,+45,373-227-1902,1940-03-21,True
Derrick,Wagner,Morgan Flat 751,Harveyshire,82859,Danmark,DK,19760123-9130,+45,778.403.9688,1976-01-23,True
Christina,Lindgren,Furuvägen 2,Örnsköldsvik,39488,Sverige,SE,19700302-9215,+46,0498-625 13,1970-03-02,True
Fabian,Åkerlund,Parktorget 9,Linköping,84217,Sverige,SE,19980303-2150,+46,0720-383 71,1998-03-03,True
Stefan,Johansson,Kyrkvägen 061,Karlskoga,82252,Sverige,SE,19611008-4905,+46,073-66 43 61,1961-10-08,True
Mette,Tveit,Aaseneggen 5,Grobø,3174,Norge,NO,19560608-7638,+47,46788683,1956-06-08,True
Steven,Jones,Murphy Roads 06820,West Stephanie,97565,Danmark,DK,19931230-5740,+45,+1-694-492-6896,1993-12-30,True
Siv,Berntsen,Kristoffersenfaret 09,Espensund,5404,Norge,NO,19790314-1666,+47,48061945,1979-03-14,True
Håkan,Samuelsson,Trädgårdsstigen 405,Helsingborg,42847,Sverige,SE,19550830-4518,+46,+46 (0)61 52 72 78,1955-08-30,True
Marie,Kelly,Jennifer Manors 5497,Paulton,29342,Danmark,DK,19440829-9895,+45,8079061174,1944-08-29,True
Karin,Tran,Villastigen 6,Lidköping,15388,Sverige,SE,19911222-9938,+46,08-507 889 34,1991-12-22,True
Anita,Lundin,Parktorget 144,Växjö,93465,Sverige,SE,19840911-4892,+46,+46 (0)35 38 17 86,1984-09-11,True
Linnéa,Johansson,Kyrkotorget 32,Trelleborg,66810,Sverige,SE,19560713-3086,+46,+46 (0)76 79 79 79,1956-07-13,True
Angela,Murphy,Moore Trail 7621,West David,00602,Danmark,DK,19490225-6580,+45,(535)460-9349x365,1949-02-25,True
Sigrid,Englund,Ekgatan 708,Örnsköldsvik,19986,Sverige,SE,19830804-6553,+46,0126-792 69,1983-08-04,True
Bert,Sandberg,Ängstorget 3,Trollhättan,81815,Sverige,SE,19911021-4312,+46,+46 (0)21 11 35 18,1991-10-21,True
Cajsa,Söderholm,Aspvägen 0,Växjö,39405,Sverige,SE,19861111-8718,+46,08-105 419 27,1986-11-11,True
Hans,Modig,Industrigatan 74,Mölndal,22249,Sverige,SE,19910119-9956,+46,+46 (0)22 87 70 50,1991-01-19,True
Lars-Åke,Larsson,Bäcktorget 787,Örnsköldsvik,26239,Sverige,SE,19481009-6777,+46,+46 (0)057 814 73,1948-10-09,True
Cathy,Smith,Robert Center 184,West Meganfurt,51945,Danmark,DK,19880718-8882,+45,(343)617-6446x0572,1988-07-18,True
Britt,Berg,Christensensvingen 6,Tommybø,5539,Norge,NO,19410126-6941,+47,65387727,1941-01-26,True
Elias,Hedström,Åkergränd 0,Stockholm,10429,Sverige,SE,19651110-2059,+46,08-347 412 22,1965-11-10,True
Marie,Carlsson,Idrottsstigen 34,Linköping,75394,Sverige,SE,19450411-8109,+46,08-06 13 77,1945-04-11,True
Richard,Perry,Clark Prairie 6230,Grahamton,56238,Danmark,DK,19590629-8747,+45,001-436-436-6847x8699,1959-06-29,True
Märta,Ali,Stationsvägen 755,Örebro,19281,Sverige,SE,19680513-2758,+46,08-48 45 27,1968-05-13,True
Arild,Haugen,Andreassenstykket 88,Annebø,2975,Norge,NO,19790327-8879,+47,+4718632194,1979-03-27,True
Jenny,Eide,Liealléen 3,Moen,5148,Norge,NO,19540312-4994,+47,87 47 20 60,1954-03-12,True
Juhani,Koistinen,Yrjönpolku 788,Nivala,27245,Finland,FI,19520214-1302,+358,(+358) 243390430,1952-02-14,True
Kerstin,Johansson,Ekgränd 72,Uppsala,94259,Sverige,SE,19440731-2610,+46,043-65 82 26,1944-07-31,True
Marjaana,Moilanen,Versokatu 96,Orimattila,12785,Finland,FI,19730319-5920,+358,+358915464318,1973-03-19,True
Torill,Henriksen,Aasenholtet 06,Sandvik,1477,Norge,NO,19450922-5994,+47,31396962,1945-09-22,True
Johannes,Næss,Martinsenhagen 29,Synnøvestad,8782,Norge,NO,19760706-6887,+47,471 77 234,1976-07-06,True
Cassie,Jackson,Lawrence Plaza 71742,North Elizabeth,78318,Danmark,DK,19641019-8794,+45,+1-778-913-6016x40039,1964-10-19,True
Tomas,Björk,Björkgränd 8,Alingsås,90832,Sverige,SE,19940819-6031,+46,+46 (0)40 41 96 95,1994-08-19,True
Jenny,Larsson,Industrigatan 655,Södertälje,50868,Sverige,SE,19620121-3868,+46,08-366 102 29,1962-01-21,True
Karoline,Paulsen,Lundehaugen 1A,Halvorsen,6329,Norge,NO,19920801-1452,+47,44037527,1992-08-01,True
Lillemor,Gustafsson,Nygatan 82,Uppsala,16146,Sverige,SE,19440207-8541,+46,08-36 18 39,1944-02-07,True
Benjamin,Thomas,Perez Islands 703,North Christopherport,13324,Danmark,DK,19511224-2516,+45,001-853-515-7322x99897,1951-12-24,True
Åse,Haug,Olsenstykket 873,Mathiasfoss,3385,Norge,NO,19800221-1163,+47,47571335,1980-02-21,True
Martine,Lien,Eriksentjernet 314,Sebastianhamn,5940,Norge,NO,19780108-2157,+47,43181290,1978-01-08,True
Nils,Kristiansen,Birkelandstranda 2,Andresen,7624,Norge,NO,19620711-5099,+47,48 50 43 43,1962-07-11,True
Noora,Pasanen,Uunisepänkatu 4,Jokioinen,55498,Finland,FI,19481208-066P,+358,0665629643,1948-12-08,True
Stefan,Lindström,Strandvägen 644,Skellefteå,75333,Sverige,SE,19461016-8255,+46,+46 (0)323 568 17,1946-10-16,True
Patricia,Vaughan,Green Parkways 314,Ramosland,32445,Danmark,DK,19711213-0264,+45,(371)414-4714x279,1971-12-13,True
Johan,Olsen,Mikkelsenstien 25,Mikkelsen,3812,Norge,NO,19661223-2898,+47,+47 46 43 96 67,1966-12-23,True
Richard,Joyce,Foster Track 17330,Garciaborough,77120,Danmark,DK,19720221-7054,+45,761.898.9409x33694,1972-02-21,True
Paulina,Rosén,Parkstigen 348,Stockholm,59880,Sverige,SE,19571103-6829,+46,+46 (0)8 311 754 16,1957-11-03,True
Thor,Brekke,Solheimplassen 4,Aas,0721,Norge,NO,19550520-1969,+47,927 61 866,1955-05-20,True
Brooke,Reeves,Julie Lock 0222,Lake Todd,37688,Danmark,DK,19690714-4606,+45,001-618-577-1364x28567,1969-07-14,True
Christine,Jansson,Ekvägen 110,Alingsås,99061,Sverige,SE,19961110-8794,+46,0892-30 04 04,1996-11-10,True
Eva,Wallén,Industrigränd 0,Linköping,26996,Sverige,SE,19681026-4030,+46,040-72 76 30,1968-10-26,True
Bente,Haug,Nygårdsvingen 27,Myklebust,0501,Norge,NO,19480518-0910,+47,90037444,1948-05-18,True
William,Karlsson,Grangatan 26,Uppsala,88288,Sverige,SE,19790806-1463,+46,+46 (0)8 204 291 35,1979-08-06,True
Margareta,Ahmadi,Skolstigen 92,Eskilstuna,53728,Sverige,SE,19740611-1158,+46,08-283 436 01,1974-06-11,True
Mattias,Oskarsson,Skolvägen 922,Lund,88405,Sverige,SE,19410416-4125,+46,040-773 10 23,1941-04-16,True
Pasi,Koskela,Ehrensvärdinbulevardi 7,Brändö,77528,Finland,FI,19840302-022M,+358,+358 190589283,1984-03-02,True
Emma,Abrahamsson,Kvarnstigen 8,Kalmar,60782,Sverige,SE,19650218-9041,+46,08-85 96 22,1965-02-18,True
